Product code,Bureau of Meteorology station number,Year,Month,Mean maximum temperature (°C),Quality
IDCJAC0002,086068,2012,10,20.5,Y
IDCJAC0002,086068,2012,11,23.7,Y
IDCJAC0002,086068,2012,12,26.4,Y
IDCJAC0002,086068,2013,01,28.6,Y
IDCJAC0002,086068,2013,02,30.2,Y
IDCJAC0002,086068,2013,03,27.4,Y
IDCJAC0002,086068,2013,04,20.8,Y
IDCJAC0002,086068,2013,05,17.6,Y
IDCJAC0002,086068,2013,06,14.5,Y
IDCJAC0002,086068,2013,07,15.1,Y
IDCJAC0002,086068,2013,08,15.6,Y
IDCJAC0002,086068,2013,09,19.5,Y
IDCJAC0002,086068,2013,10,19.0,Y
IDCJAC0002,086068,2013,11,21.8,Y
IDCJAC0002,086068,2013,12,25.0,Y
IDCJAC0002,086068,2014,01,29.7,Y
IDCJAC0002,086068,2014,02,29.7,Y
IDCJAC0002,086068,2014,03,26.2,Y
IDCJAC0002,086068,2014,04,20.9,Y
IDCJAC0002,086068,2014,05,18.7,Y
IDCJAC0002,086068,2014,06,15.0,Y
IDCJAC0002,086068,2014,07,13.9,Y
IDCJAC0002,086068,2014,08,15.3,Y
IDCJAC0002,086068,2014,09,18.5,Y
IDCJAC0002,086068,2014,10,22.2,Y
IDCJAC0002,086068,2014,11,24.6,Y
IDCJAC0002,086068,2014,12,25.7,Y
IDCJAC0002,086068,2015,01,27.3,Y
IDCJAC0002,086068,2015,02,28.6,Y
IDCJAC0002,086068,2015,03,23.9,Y
IDCJAC0002,086068,2015,04,19.7,Y
IDCJAC0002,086068,2015,05,16.8,Y
IDCJAC0002,086068,2015,06,13.9,Y
IDCJAC0002,086068,2015,07,12.8,Y
IDCJAC0002,086068,2015,08,13.7,Y
IDCJAC0002,086068,2015,09,17.3,Y
IDCJAC0002,086068,2015,10,25.2,Y
IDCJAC0002,086068,2015,11,24.2,Y
IDCJAC0002,086068,2015,12,29.8,Y
IDCJAC0002,086068,2016,01,27.9,Y
IDCJAC0002,086068,2016,02,27.6,Y
IDCJAC0002,086068,2016,03,26.2,Y
IDCJAC0002,086068,2016,04,22.8,Y
IDCJAC0002,086068,2016,05,18.4,Y
IDCJAC0002,086068,2016,06,13.8,Y
IDCJAC0002,086068,2016,07,14.1,Y
IDCJAC0002,086068,2016,08,15.4,Y
IDCJAC0002,086068,2016,09,16.4,Y
IDCJAC0002,086068,2016,10,19.0,Y
IDCJAC0002,086068,2016,11,21.6,Y
IDCJAC0002,086068,2016,12,27.2,Y
IDCJAC0002,086068,2017,01,28.1,Y
IDCJAC0002,086068,2017,02,26.9,Y
IDCJAC0002,086068,2017,03,28.6,Y
IDCJAC0002,086068,2017,04,21.0,Y
IDCJAC0002,086068,2017,05,17.0,Y
IDCJAC0002,086068,2017,06,14.4,Y
IDCJAC0002,086068,2017,07,14.4,Y
IDCJAC0002,086068,2017,08,14.5,Y
IDCJAC0002,086068,2017,09,17.6,Y
IDCJAC0002,086068,2017,10,21.6,Y
IDCJAC0002,086068,2017,11,27.2,Y
IDCJAC0002,086068,2017,12,26.3,Y
IDCJAC0002,086068,2018,01,29.1,Y
IDCJAC0002,086068,2018,02,28.7,Y
IDCJAC0002,086068,2018,03,26.2,Y
IDCJAC0002,086068,2018,04,23.3,Y
IDCJAC0002,086068,2018,05,17.6,Y
IDCJAC0002,086068,2018,06,14.2,Y
IDCJAC0002,086068,2018,07,14.5,Y
IDCJAC0002,086068,2018,08,14.9,Y
IDCJAC0002,086068,2018,09,17.3,Y
IDCJAC0002,086068,2018,10,22.2,Y
IDCJAC0002,086068,2018,11,22.7,Y
IDCJAC0002,086068,2018,12,26.9,Y
IDCJAC0002,086068,2019,01,31.4,Y
IDCJAC0002,086068,2019,02,28.0,Y
IDCJAC0002,086068,2019,03,26.6,Y
IDCJAC0002,086068,2019,04,22.7,Y
IDCJAC0002,086068,2019,05,17.8,Y
IDCJAC0002,086068,2019,06,14.8,Y
IDCJAC0002,086068,2019,07,14.3,Y
IDCJAC0002,086068,2019,08,14.0,Y
IDCJAC0002,086068,2019,09,17.8,Y
IDCJAC0002,086068,2019,10,21.8,Y
IDCJAC0002,086068,2019,11,22.8,Y
IDCJAC0002,086068,2019,12,26.9,Y
IDCJAC0002,086068,2020,01,28.5,Y
IDCJAC0002,086068,2020,02,25.6,Y
IDCJAC0002,086068,2020,03,23.2,Y
IDCJAC0002,086068,2020,04,19.1,Y
IDCJAC0002,086068,2020,05,16.1,Y
IDCJAC0002,086068,2020,06,14.7,Y
IDCJAC0002,086068,2020,07,13.6,Y
IDCJAC0002,086068,2020,08,14.8,Y
IDCJAC0002,086068,2020,09,18.2,Y
